,Unnamed: 0,Article_id,Venue,Title,Year,Abstract,Doi,fieldsOfStudy,topics,Downloadurl,TotalCitationCount,Influentialcitationcount
10,10,PMCID:21877381,International journal of computerized dentistry,new onlin manag softwar dicom viewer dentistri,2011,way collect store share dental record patient rapid becom digit mani program design run singl comput local network handl various task select system complex requir high acquisit cost updat fee instal difficulti purpos articl explain architectur characterist advantag relat webbas manag softwar particular articl describ first webbas electron medic record docsapienscom abl view edit dicom file direct onlin,21877381,Computer Science Medicine,Consultation,https://dl.acm.org/doi/pdf/21877381?download=true,2,0
11,11,PMCID:26034034,Journal of dental education,use electron health record dental diagnost system terminolog promot dental student critic think,2015,consortium oral health research informat cohri lead way use dental diagnost system dds terminolog axium electron health record ehr collabor pilot studi two aim 1 investig whether use dds term posit impact predoctor dental student critic think skill measur health scienc reason test hsrt 2 refin studi protocol studi design natur experi crosssect data collect use hsrt 15 class 201317 student three dental school characterist student expos dds term compar student differ test ttest chisquar test general linear model use evalu relationship exposur outcom overal critic think score result show exposur signific relat overal score p001 notexpos student lower mean overal score studi thus demonstr posit impact use dds terminolog ehr critic think skill predoctor dental student three cohri school measur overal score hsrt preliminari find support futur research evalu propos model critic think clinic dentistri,26034034,Medicine,Palliative Care,https://dl.acm.org/doi/pdf/26034034?download=true,12,0
12,12,PMCID:25086152,Journal of dental education,assess benefit person ehrgener inform consent dental school set,2014,inform consent routin use import sourc inform help patient make appropri clinic decis howev current standard consent form may accomplish intend purpos due varieti patient literaci experi dental school set develop compet student purpos pilot studi test efficaci person inform consent generat electron health record ehr one dental school role patient decis make studi set inform consent smartcons develop specif diagnos procedur enhanc graphic deliv school ehr fifti patient recruit school urgent care clinic divid even two group one control receiv standard consent second receiv smartcons follow treatment patient assess base demograph decision conflict satisfact health literaci knowledg overal signific differ main effect smartcons standard inform consent decision conflict satisfact although signific differ identifi secondari analysi satisfact gender ethnic studi also demonstr potenti consent aid student provid better communic patient,25086152,Medicine,Numerous,https://dl.acm.org/doi/pdf/25086152?download=true,4,0
13,13,PMCID:22550110,Journal of dental education,onlin communiti inquiri reflect practic oper dentistri cours,2012,onlin learn communiti enter realm webbas learn mean reflect collabor learn purpos articl describ format onlin learn communiti use communiti inquiri coi conceptu framework oper clinic simul dental student univers british columbia canada involv onlin coi past five year descript articl present overview experi involv develop coi provid conceptu framework onlin coi,22550110,Medicine,TCAP gene,https://dl.acm.org/doi/pdf/22550110?download=true,7,0
14,14,PMCID:22550104,Journal of dental education,ethic electron health record dental school clinic,2012,electron health record ehr major develop practic dentistri dental school dental curricula benefit technolog patient data entri storag retriev transmiss archiv streamlin potenti teledentistri improv epidemiolog research begin realiz howev maintain patient health inform electron form also chang environ dental educ set potenti ethic dilemma student faculti member purpos articl explor ethic issu relat ehr advantag concern relat use comput dental operatori impact ehr doctorpati relationship introduct webbas ehr link technolog ethic potenti solut manag ethic concern relat ehr dental school,22550104,Medicine,Patients,https://dl.acm.org/doi/pdf/22550104?download=true,16,1
15,15,PMCID:20930236,Journal of dental education,consortium oral healthrel informat improv dental research educ treatment,2010,advanc informat particular implement electron health record ehr dentistri facilit exchang inform major dental school north america use ehr system provid unpreced opportun integr data repositori use oral health educ research 2007 fourteen dental school form consortium oral healthrel informat cohri sinc incept cohri establish structur oper process govern bylaw number work group organ two divis one focus research data standard integr analysi one focus educ perform evalu virtual standard patient object structur clinic examin date cohri includ twenti dental school success develop data repositori pilottest data integr share ehr enhanc among group consortium collabor standard medic dental histori develop diagnost terminolog promot util informat dental educ consortium process assembl largest oral health databas ever creat invalu resourc research provid foundat evidencebas dentistri year come,20930236,Medicine,"Telephone Number,Emergencies [Disease/Finding],Accident and Emergency department,Puromycin Aminonucleoside,Erectile dysfunction,Urgent Care,Differential Diagnosis,Oral cavity,Triage,Large,Consultation,Palliative Care,Numerous,TCAP gene,Patients",https://dl.acm.org/doi/pdf/20930236?download=true,41,0
16,16,PMCID:20388817,Journal of dental education,health inform technolog system profound impact user case studi dental school,2010,purpos studi increas understand impact health inform technolog system hit dental school user system integr chairsid patient care use qualit research method includ interview focus group observ captur experi hit user singl institut user includ administr clinic faculti member predoctor student support staff resid data analyz use ground theori approach nine theme emerg 1 hit benefit disproportion among user 2 communic hit challeng 3 user experienc rang strong emot 4 instructor persona diminish 5 shift school power structur 6 alloc endus time shift 7 train support need endus signific 8 perceiv lack hit usabl made document cumbersom clinician 9 clinician workflow disrupt hit integr patient care impact work system user especi endus theme highlight area potenti concern implement user integr hit patient care,20388817,Medicine,Speech Disorders,https://dl.acm.org/doi/pdf/20388817?download=true,17,0
17,17,PMCID:19433534,Journal of dental education,factor influenc implement outcom dental electron patient record system,2009,implement clinic inform system often difficult cost littl known implement electron patient record complex dental school environ purpos studi report system implement univers texa health scienc center houston dental branch provid insight may use institut identifi success factor barrier review project document interview key individu implement team survey end user implement eight critic issu identifi extens interview project team survey student faculti staff implement indic user mix feel system term effici time requir compar paper chart use system mani user felt electron patient record improv patient care would recommend system dentist start new practic share lesson learn knowledg scienc implement hope reduc failur cost dental school embark largescal inform technolog implement,19433534,Medicine,"Practice Management, Dental",https://dl.acm.org/doi/pdf/19433534?download=true,30,1
18,18,PMCID:17923711,Journal of dental education,use electron patient record system evalu restor treatment follow root canal therapi,2007,electron patient record epr system rapid gain accept import tool manag patient inform purpos project evalu use epr system assess qualiti care academ dental institut primari outcom interest timeli complet restor care follow complet nonsurg root canal therapi initi queri epr databas perform use follow inclus criteria root canal treatment perform postgradu endodont clinic septemb 2002 june 2004 patient age 18 year old posterior tooth premolar molar total 925 patient 1014 endodont treat teeth met inclus criteria random sampl 30 percent treat teeth 302 teeth 281 patient select detail review sampl 302 teeth screen determin restor treatment perform septemb 2002 novemb 2005 fortyeight percent n146 302 teeth receiv form perman restor time period studi twentyf percent n75 teeth receiv buildup 27 percent n82 receiv recommend treatment full occlus coverag restor studi document use epr system object effici assess one aspect qualiti care dental school environ,17923711,Medicine,CDISC ADAS-Cog - Commands Summary Score,https://dl.acm.org/doi/pdf/17923711?download=true,15,0
19,19,PMCID:21460265,Journal of dental education,inform resourc util clinic decis make common practic dentistri,2011,studi investig current trend iowa dental practition regard acquisit util scientif inform resourc support decis make clinic practic dentistri survey questionnair regard util various sourc inform support clinic decis mail septemb 2009 dentist licens practic state iowa dentist appoint fulltim within univers iowa colleg dentistri exclud studi continu educ cours frequent util prefer inform sourc respond follow print journal consult health care profession practic pattern accord decad dental school graduat well scope practic note result studi demonstr dental practition util varieti evidencebas nonevidencebas inform resourc support decis clinic practic habit newer graduat vari somewhat earlier graduat habit specialist vari general practition,21460265,Medicine,Patients,https://dl.acm.org/doi/pdf/21460265?download=true,41,3
20,20,PMCID:26798898,Journal of the California Dental Association,electron health record futur dental practic,2015,articl explor opportun challeng dentist transit electron health record ehr dentist slow digit transit lack feder incent technic assist howev chang practic dentistri includ integr health care provid may propel forward,26798898,Medicine,"Speech Disorders,Practice Management, Dental,CDISC ADAS-Cog - Commands Summary Score,Patients",https://dl.acm.org/doi/pdf/26798898?download=true,3,0
21,21,PMCID:25308567,Minerva stomatologica,collabor spot oral medicin,2014,aim goal collabor spot project creat automat system collect inform public patent relat given technolog identifi key player involv highlight collabor relat technolog collect inform visual web browser interact graphic map show intuit way player collabor sociogram relat among technolog technogram propos use system studi technolog relat oral medicin method order creat sociogram creat logic filter base set keyword relat technolog studi filter use extract list public web science™ databas list valid expert technolog sent cern insert collabor spot databas automat softwar system use data generat final map result studi set recent technolog relat bone regener procedur oromaxillofaci critic size defect name use porous hydroxyapatit ha bone substitut alon bone graft tridimension support scaffold insemin differenti ex vivo mesenchym stem cell produc sociogram technolog result map access onlin conclus collabor spot system allow automat creation interact map show current histor state research specif technolog map ideal tool research want assess stateoftheart given technolog research organ want evalu contribut technolog develop given field demonstr system use oral medicin produc map initi set technolog field plan enlarg set map technolog order make collabor spot system use refer tool oral medicin research,25308567,Computer Science Medicine,Dental Diseases,https://dl.acm.org/doi/pdf/25308567?download=true,0,0
22,22,PMCID:21893778,MIE,medic provid dental inform need baselin survey,2011,articul medic dental practic strong call base mani oralsystem connect rapid develop adopt electron health record feasibl integr medic dental patient data strong consid object studi develop initi understand medic provid core dental inform need opinion integr medicaldent electron health record iehr environ workflow achiev administ 13 question survey group 1197 medic care provid employ marshfield clinic wisconsin unit state survey receiv respons rate 35 respons analyz base provid role specialti major respond felt need patient dental inform coordin provid effect medic care integr electron health record environ could facilit holist patient care approach,21893778,Computer Science Medicine,Consent Forms,https://dl.acm.org/doi/pdf/21893778?download=true,6,0
23,23,PMCID:18487785,MIE,voicecontrol data entri dental electron health record,2008,euromis center focus new approach field electron health record ehr among other structur health document dentistri form ehr systemat studi paper describ evolut ehr develop euromis center name mudrlit graphic compon dentist call dentcross summari featur dentcross compon follow brief descript automat speech recognit asr modul problem data insert ehr examin dental patient lead research area automat speech recognit medic practic cooper engin informatician dental physician result applic call dentvoic success applic asr modul dentcross compon mudrlit ehr junction voic control graphic represent dental arch make handbusi activ dental praxi easier quicker comfort result better qualiti data store structur form dental ehr thus enabl better decis make use decis support system,18487785,Medicine Computer Science,benefit,https://dl.acm.org/doi/pdf/18487785?download=true,17,0
24,24,PMCID:27139408,eHealth,medic informat inform technolog support oral medicin,2016,electron healthcar document key element electron healthcar ehealth electron oral health record eohr support oral medicin discuss provid dentist methodolog instrument creat oral health document effici way support inform exchang integr dental domain eas dental decisionmak forens dentistri identif tasksth propos methodolog use model lifelong eohr base small specif ontolog use classif system nomenclatur eg snodent possibl eohrwith lifelong dentcross user interfac develop support dental care univers hospit praguemotol user interfac work four languag control voic keyboard lifelong dentcross user interfac reflect way work dentistri eohr provid structur free text inform oral medicin,27139408,Medicine Computer Science,Patients,https://dl.acm.org/doi/pdf/27139408?download=true,1,0
