,article_id,Reference_paper_id,Reference_paper_doi,Reference _paper_title,Reference_paper_venue,Reference_paper_year,Intent,Is_influential
34,10.1177/154407370301700108,202967aa0e13b1c17af0e599428b452ddf258f06,10.1002/J.0022-0337.2003.67.11.TB03712.X,Developing high-quality educational software.,Journal of dental education,2003,background,False
35,10.1177/154407370301700108,527ec899da5b7c02d24e00cadc61cd68f146f351,10.1055/S-0038-1638162,"Informatics Research, Development, and Training at the Lister Hill National Center for Biomedical Communications.",Yearbook of medical informatics,2003,background,False
36,10.1177/154407370301700108,abb9f4c763d5d5f1d84f53079d6f446a58177ca1,,Medical informatics: computer applications in health care and biomedicine (Health informatics),,2003,,False
37,10.1177/154407370301700108,c22edd5c216fadfbd82dd12cda8cfb4d0b02017d,10.14219/JADA.ARCHIVE.2003.0164,Teledentistry and its use in dental education.,Journal of the American Dental Association,2003,background,False
38,10.1177/154407370301700108,f5dbaffcafe3e0981f1c10b671e963ac5d987584,10.1002/J.0022-0337.2003.67.11.TB03713.X,Evaluation of educational software.,Journal of dental education,2003,background,False
39,10.1177/154407370301700108,c2cec810d8fc3bc7a660f988aa7ee92f50a7d157,10.1108/14684520510583990,The Medical Library Association Encyclopedic Guide to Searching and Finding Health Information on the Web,,2005,background,False
40,10.1177/154407370301700104,2dfcd90e9c61221ffd61923bfb9c6eea24aeb446,10.1177/00220345680470022001,Theoretical Analysis of Displacement and Force Distribution for the Tissue - Bearing Surface of Dentures,Journal of dental research,1968,background,False
41,10.1177/154407370301700104,dcbfb60339a86a0d9ef21d272190b6bc7e63b6c0,10.1126/science.228.4698.456,Intelligent Tutoring Systems,Science,1985,background,False
42,10.1177/154407370301700104,4e1c5b7d383780baf52e795c9b826f004332775e,10.1177/0272989X9101100105,A Descriptive Analysis of National Library of Medicine-funded Medical Informatics Training Programs and the Career Choices of Their Graduates,Medical decision making : an international journal of the Society for Medical Decision Making,1991,background,False
43,10.1177/154407370301700104,dce8fbd7e03a298ef9f44f9caf000cfdd295d582,10.1007/978-1-4613-9160-9_15,Research frontiers,,1991,background,True
44,10.1177/154407370301700104,eefab595509b174d5b09d102ee29a9cbac2cedaf,,"A History of Medical Informatics in the United States, 1950 to 1990",,1995,background,False
45,10.1177/154407370301700104,d6b4bcd315cf349c07ba2007021a49afae384efb,10.1038/SJ.DMFR.4600411,Decision-support systems in dentistry.,Journal of dental education,1996,,False
46,10.1177/154407370301700104,43eb1319b013ca46e4b41d1c334adc65ac2a84af,10.1007/978-1-4757-2685-5,Evaluation Methods in Medical Informatics,Computers and Medicine,1997,background,False
47,10.1177/154407370301700104,4cabc1ce3c4a56f79deeed9d53aec678c1fa8706,,Patient-Centered Access to Secure Systems Online (PCASSO): a secure approach to clinical data access via the World Wide Web,AMIA,1997,,False
48,10.1177/154407370301700104,51a7dbb6c796ee582f7c563deac874b254105c99,10.1002/J.0022-0337.1997.61.8.TB03148.X,Geriatric patient simulations for dental hygiene.,Journal of dental education,1997,background,False
49,10.1177/154407370301700104,6813067b7324106ec8d668d923a357a22b63f96a,10.17226/5306,The Computer-Based Patient Record,,1997,background,True
50,10.1177/154407370301700104,8da0a40bd5386c885ea5df7384cf3e28c1b328cc,10.1016/b978-0-444-81862-1.x5065-1,Handbook of Human-Computer Interaction,,1997,,False
51,10.1177/154407370301700104,b12c47abb3e40e2a127095ee4a98625509527315,10.1002/J.0022-0337.1998.62.11.TB03258.X,"Dental Interactive Simulations Corporation (DISC): simulations for education, continuing education, and assessment.",Journal of dental education,1998,background,False
52,10.1177/154407370301700104,0df2575e27af2410663ab5829d5ad0d7fe27d45f,10.14219/JADA.ARCHIVE.1999.0055,Improving detection of precancerous and cancerous oral lesions. Computer-assisted analysis of the oral brush biopsy. U.S. Collaborative OralCDx Study Group.,Journal of the American Dental Association,1999,,False
53,10.1177/154407370301700104,6b565e67dda3a0ae792e8dabaa9b0a621a806ca5,,No free lunch: institutional preparations for computer-based patient records,AMIA,1999,background,True
54,10.1177/154407370301700104,4c2cdbf5401e23a3c4bc8750515559b49b6ed572,10.1201/b13618-32,Information economics and the Internet.,Journal of the American Medical Informatics Association : JAMIA,2000,background,False
55,10.1177/154407370301700104,059bc899a99aa1a92b00b16238a277365560829f,10.14219/JADA.ARCHIVE.2001.0237,Dental informatics. A cornerstone of dental practice.,Journal of the American Dental Association,2001,,False
56,10.1177/154407370301700104,49b2a471a62aa503a6b7a0836e2413166f3a4b7a,,A bibliometric analysis of the pediatric dental literature in MEDLINE.,Pediatric dentistry,2001,background,False
57,10.1177/154407370301700104,0bfccbc31ea1f3325ae69b2cd287ae4f0de5be0e,,Dental concepts in the Unified Medical Language System.,Quintessence international,2002,background,False
58,10.1177/154407370301700104,df5d6b7f6903fe74416316625fec00e359f977f5,10.1197/jamia.M1089,Application of Information Technology: Simulated Medical Learning Environments on the Internet,J. Am. Medical Informatics Assoc.,2002,background,False
59,10.1177/154407370301700104,1346692adfe0dff62380fc30d76fe7eb77c64512,10.1002/J.0022-0337.2003.67.5.TB03654.X,"The effectiveness of computer-aided, self-instructional programs in dental education: a systematic review of the literature.",Journal of dental education,2003,background,True
60,10.1177/154407370301700104,28c7072716c1ad4f2456deab0893940dc62ff159,10.1177/154407370301700103,Dental Informatics: An Emerging Biomedical Informatics Discipline,Journal of dental education,2003,,False
61,10.1177/154407370301700104,320b5b42206f3a806c6843159e322c9dd7fc58f5,,Integrating dental office technology: The next frontier,,2003,,False
62,10.1177/154407370301700104,3b5f5a32f77a40a6c8b0d7ce9ffd554741dc68f8,10.1177/154407370301700126,Retrieval and Classification of Dental Research Articles,Advances in dental research,2003,background,False
63,10.1177/154407370301700104,a8788c29771ad10fa734de12096b0adcb076bd29,10.1177/154407370301700105,Grand Challenges in Dental Informatics,Advances in dental research,2003,background,False
64,10.1177/154407370301700104,d2b79e3184da36ed9201ffb6772be5b68c08c85f,10.1002/J.0022-0337.2003.67.10.TB03702.X,A survey of information technology management at U.S. dental schools.,Journal of dental education,2003,,False
65,10.1177/154407370301700104,f5dbaffcafe3e0981f1c10b671e963ac5d987584,10.1002/J.0022-0337.2003.67.11.TB03713.X,Evaluation of educational software.,Journal of dental education,2003,,False
66,10.1177/154407370301700104,fa75c54d1ef75c5a9126a7c06e754a1afa910870,10.1177/154407370301700106,A Preliminary Analysis of the Dental Informatics Literature,Advances in dental research,2003,,False
67,10.1177/154407370301700104,7671da4b6fae7f3676c1104fec7e42314762b9c2,10.1007/BF00143964,Methods and techniques of adaptive hypermedia,User Modeling and User-Adapted Interaction,2004,background,False
68,10.1177/154407370301700104,a2355ddf48e9eb03ed05af8b82370896d5985f59,10.4324/9780203218891_chapter_1,A preliminary analysis,,2005,background,False
69,10.1177/154407370301700103,7717fb014261b44734acf41715dddcbc011397c3,10.1126/SCIENCE.130.3366.9,"Reasoning foundations of medical diagnosis; symbolic logic, probability, and value theory aid our understanding of how physicians reason.",Science,1959,,False
70,10.1177/154407370301700103,267673431ed614947feeb6abac8d0933744afd13,,Principles of information retrieval,,1974,background,False
71,10.1177/154407370301700103,267673431ed614947feeb6abac8d0933744afd13,,Principles of information retrieval,,1974,background,False
72,10.1177/154407370301700103,2d007f7eae7d582c2c157f43cc76b2264bea9d51,10.1016/0010-468X(76)90048-9,MUMPS--an economical and efficient time-sharing system for information management.,Computer programs in biomedicine,1976,background,False
73,10.1177/154407370301700103,2d007f7eae7d582c2c157f43cc76b2264bea9d51,10.1016/0010-468X(76)90048-9,MUMPS--an economical and efficient time-sharing system for information management.,Computer programs in biomedicine,1976,background,False
74,10.1177/154407370301700103,fb20364939222b17f25efac2d53c55f1e3c768d3,10.1080/716099686,The Visual Display of Quantitative Information,,1985,,False
75,10.1177/154407370301700103,494d9995f82e0e69b2ed73575530d054f9a89c21,,Information science : principles and practice,,1986,background,False
76,10.1177/154407370301700103,494d9995f82e0e69b2ed73575530d054f9a89c21,,Information science : principles and practice,,1986,,False
77,10.1177/154407370301700103,d48afefe7456f4c2531aeb2ebe4f2bdbdc7caad4,,Computers in dentistry.,Dental clinics of North America,1986,methodology,False
78,10.1177/154407370301700103,1860e7262b4bbf09fb6a95edb813992aded7149a,,Introduction to Telecommunications: The Business Perspective,,1989,,False
79,10.1177/154407370301700103,1860e7262b4bbf09fb6a95edb813992aded7149a,,Introduction to Telecommunications: The Business Perspective,,1989,background,False
80,10.1177/154407370301700103,38f17fd7fa8cac8f7e1f0478655d261a4089541b,,Knowledge bases in medicine: a review.,Bulletin of the Medical Library Association,1990,background,False
81,10.1177/154407370301700103,38f17fd7fa8cac8f7e1f0478655d261a4089541b,,Knowledge bases in medicine: a review.,Bulletin of the Medical Library Association,1990,background,False
82,10.1177/154407370301700103,75895922164813dfc8d37c62633da032eab39ef3,,Knowledge bases in medicine: a review.,,1990,,False
83,10.1177/154407370301700103,b73eeabab961a81b87624ad767e100a526b14439,10.5860/choice.28-1398,Envisioning Information,,1990,background,False
84,10.1177/154407370301700103,b73eeabab961a81b87624ad767e100a526b14439,10.5860/choice.28-1398,Envisioning Information,,1990,,False
85,10.1177/154407370301700103,811d1f53f6136653630f0b1b8c25b495c8702cb1,10.1007/978-1-4613-8554-7_2,Reasoning foundations of medical diagnosis.,M.D. computing : computers in medical practice,1991,methodology background,False
86,10.1177/154407370301700103,811d1f53f6136653630f0b1b8c25b495c8702cb1,10.1007/978-1-4613-8554-7_2,Reasoning foundations of medical diagnosis.,M.D. computing : computers in medical practice,1991,methodology background,False
87,10.1177/154407370301700103,c5ae7ea4f300c27e8aa1aa50439d07a66be4ba1d,10.1016/S0140-6736(94)91406-0,Graphical summary of patient status,The Lancet,1994,background,False
88,10.1177/154407370301700103,c5ae7ea4f300c27e8aa1aa50439d07a66be4ba1d,10.1016/S0140-6736(94)91406-0,Graphical summary of patient status,The Lancet,1994,background,False
89,10.1177/154407370301700103,6b875b41d91ada06b87ceebba0724974bfe2660a,10.1136/jamia.1995.95202550,Where's the Science in Medical Informatics?,J. Am. Medical Informatics Assoc.,1995,,False
90,10.1177/154407370301700103,6b875b41d91ada06b87ceebba0724974bfe2660a,10.1136/jamia.1995.95202550,Where's the Science in Medical Informatics?,J. Am. Medical Informatics Assoc.,1995,background,False
91,10.1177/154407370301700103,eefab595509b174d5b09d102ee29a9cbac2cedaf,,"A History of Medical Informatics in the United States, 1950 to 1990",,1995,background,False
92,10.1177/154407370301700103,eefab595509b174d5b09d102ee29a9cbac2cedaf,,"A History of Medical Informatics in the United States, 1950 to 1990",,1995,background,False
93,10.1177/154407370301700103,348724c6d2b050f3cd05fe33db99d5da6cdb3c1c,10.1136/jcp.49.3.194,How to develop and use a Bayesian Belief Network.,Journal of clinical pathology,1996,background,False
94,10.1177/154407370301700103,348724c6d2b050f3cd05fe33db99d5da6cdb3c1c,10.1136/jcp.49.3.194,How to develop and use a Bayesian Belief Network.,Journal of clinical pathology,1996,,False
95,10.1177/154407370301700103,90d3694916218e8cbb288783e52909bf643f73f3,10.5860/choice.34-5985,Mind: Introduction to Cognitive Science,,1996,,False
96,10.1177/154407370301700103,d6b4bcd315cf349c07ba2007021a49afae384efb,10.1038/SJ.DMFR.4600411,Decision-support systems in dentistry.,Journal of dental education,1996,,False
97,10.1177/154407370301700103,f8f9e573322fd28aac794b64a9b023d0c3047f4e,10.1002/J.0022-0337.1996.60.3.TB03022.X,How should dental informatics evolve?,Journal of dental education,1996,background,False
98,10.1177/154407370301700103,f8f9e573322fd28aac794b64a9b023d0c3047f4e,10.1002/J.0022-0337.1996.60.3.TB03022.X,How should dental informatics evolve?,Journal of dental education,1996,background,False
99,10.1177/154407370301700103,41343606bb9440f6208085fa6dd8cda015e740f3,10.1016/S0004-3702(97)00008-8,An Interactive System for Finding Complementary Literatures: A Stimulus to Scientific Discovery,Artif. Intell.,1997,background,False
100,10.1177/154407370301700103,41343606bb9440f6208085fa6dd8cda015e740f3,10.1016/S0004-3702(97)00008-8,An Interactive System for Finding Complementary Literatures: A Stimulus to Scientific Discovery,Artif. Intell.,1997,methodology,False
101,10.1177/154407370301700103,43eb1319b013ca46e4b41d1c334adc65ac2a84af,10.1007/978-1-4757-2685-5,Evaluation Methods in Medical Informatics,Computers and Medicine,1997,,False
102,10.1177/154407370301700103,43eb1319b013ca46e4b41d1c334adc65ac2a84af,10.1007/978-1-4757-2685-5,Evaluation Methods in Medical Informatics,Computers and Medicine,1997,background,False
103,10.1177/154407370301700103,6630572eecefc901d9f89e53dfa64cbee3ad4a15,10.2307/1224421,"Visual Explanations: Images and Quantities, Evidence and Narrative",,1997,background,False
104,10.1177/154407370301700103,6813067b7324106ec8d668d923a357a22b63f96a,10.17226/5306,The Computer-Based Patient Record,,1997,background,False
105,10.1177/154407370301700103,6d591e1fb493e614e98b03c401ce4b2a7c4f2d96,10.1136/jamia.1998.0050493,Review: Medical Informatics and the Science of Cognition,J. Am. Medical Informatics Assoc.,1998,background,False
106,10.1177/154407370301700103,6d591e1fb493e614e98b03c401ce4b2a7c4f2d96,10.1136/jamia.1998.0050493,Review: Medical Informatics and the Science of Cognition,J. Am. Medical Informatics Assoc.,1998,background,False
107,10.1177/154407370301700103,88067205319d04cfe009aaf4105b3d9a5d0db955,10.1136/JAMIA.1998.0050293,Forum Paper: How Should We Organize to Do Informatics?: Report of the ACMI Debate at the 1997 AMIA Fall Symposium,J. Am. Medical Informatics Assoc.,1998,background,False
108,10.1177/154407370301700103,c604a7aa5100e158a524377921e9d1de4858f504,,(Bio) medical informatics in the next decade.,Journal of the American Medical Informatics Association : JAMIA,1998,background,False
109,10.1177/154407370301700103,c604a7aa5100e158a524377921e9d1de4858f504,,(Bio) medical informatics in the next decade.,Journal of the American Medical Informatics Association : JAMIA,1998,background,False
110,10.1177/154407370301700103,d8ec100f28e7a17f0df696a46f7cc255e5262d22,10.1136/jamia.1998.0050489,Viewpoint: Science and Practice: A Case for Medical Informatics as a Local Science of Design,J. Am. Medical Informatics Assoc.,1998,background,False
111,10.1177/154407370301700103,d8ec100f28e7a17f0df696a46f7cc255e5262d22,10.1136/jamia.1998.0050489,Viewpoint: Science and Practice: A Case for Medical Informatics as a Local Science of Design,J. Am. Medical Informatics Assoc.,1998,,False
112,10.1177/154407370301700103,efd60ca7ac3d221c0b97532e2e5c21f91692846e,10.1002/(SICI)1520-6688(199822)17:3<549::AID-PAM11>3.0.CO;2-A,"Visual explanations: Images and quantities, evidence and narrative",,1998,,False
113,10.1177/154407370301700103,0c3ace9abe95f854eb79220ca92f3a9dc735deac,,"Stanford Medical Informatics: uncommon research, common goals.",M.D. computing : computers in medical practice,1999,,False
114,10.1177/154407370301700103,1b1de58a3e5839c98d6a19f3cc0c2d3d1cf415a5,10.1001/JAMA.282.19.1851,Enhancement of clinicians' diagnostic reasoning by computer-based consultation: a multisite study of 2 systems.,JAMA,1999,,False
115,10.1177/154407370301700103,1b1de58a3e5839c98d6a19f3cc0c2d3d1cf415a5,10.1001/JAMA.282.19.1851,Enhancement of clinicians' diagnostic reasoning by computer-based consultation: a multisite study of 2 systems.,JAMA,1999,background,False
116,10.1177/154407370301700103,7852c4c8aa34a38fb5b32e6bc44de8898d90ec24,,Are Medical Informatics and Nursing Informatics Distinct Disciplines ?,,1999,background,False
117,10.1177/154407370301700103,c4ba80fab7b71a36d443f299ba8d9bed3c1a65d5,10.1136/JAMIA.2000.0070304,Forum Paper: Are Medical Informatics and Nursing Informatics Distinct Disciplines?: The 1999 ACMI Debate,J. Am. Medical Informatics Assoc.,2000,,False
118,10.1177/154407370301700103,c4ba80fab7b71a36d443f299ba8d9bed3c1a65d5,10.1136/JAMIA.2000.0070304,Forum Paper: Are Medical Informatics and Nursing Informatics Distinct Disciplines?: The 1999 ACMI Debate,J. Am. Medical Informatics Assoc.,2000,background,False
119,10.1177/154407370301700103,059bc899a99aa1a92b00b16238a277365560829f,10.14219/JADA.ARCHIVE.2001.0237,Dental informatics. A cornerstone of dental practice.,Journal of the American Dental Association,2001,background,False
120,10.1177/154407370301700103,059bc899a99aa1a92b00b16238a277365560829f,10.14219/JADA.ARCHIVE.2001.0237,Dental informatics. A cornerstone of dental practice.,Journal of the American Dental Association,2001,background,False
121,10.1177/154407370301700103,32f5e10001810018023cf84fef1730d988881f45,10.3233/978-1-60750-928-8-1009,The Development of Model Curricula for Health Informatics,MedInfo,2001,background,False
122,10.1177/154407370301700103,3cf76f1ef4cf1501675715f17d0c4df6338c87ec,10.1136/jamia.2001.0080235,White Paper: Toward an Informatics Research Agenda: Key People and Organizational Issues,J. Am. Medical Informatics Assoc.,2001,background,False
123,10.1177/154407370301700103,3cf76f1ef4cf1501675715f17d0c4df6338c87ec,10.1136/jamia.2001.0080235,White Paper: Toward an Informatics Research Agenda: Key People and Organizational Issues,J. Am. Medical Informatics Assoc.,2001,,False
124,10.1177/154407370301700103,21ee9a17f12157c81475d9b4e1ada4dd2ad6865a,10.1055/S-0038-1638139,Challenges for Medical Informatics as an Academic Discipline: Workshop Report.,Yearbook of medical informatics,2002,background,False
125,10.1177/154407370301700103,21ee9a17f12157c81475d9b4e1ada4dd2ad6865a,10.1055/S-0038-1638139,Challenges for Medical Informatics as an Academic Discipline: Workshop Report.,Yearbook of medical informatics,2002,background,False
126,10.1177/154407370301700103,448ad9b2b67c0af6b5e3da6eb74e3519d2ca1c84,10.1055/S-0038-1634307,Medical informatics: searching for underlying components.,Methods of information in medicine,2002,,False
127,10.1177/154407370301700103,5ba13490dd3426d45bc46d0ce9a38722d4312482,10.1055/S-0038-1638138,Medical Informatics Training and Research at Columbia University.,Yearbook of medical informatics,2002,background,False
128,10.1177/154407370301700103,5ba13490dd3426d45bc46d0ce9a38722d4312482,10.1055/S-0038-1638138,Medical Informatics Training and Research at Columbia University.,Yearbook of medical informatics,2002,,False
129,10.1177/154407370301700103,6160bbc50dc7124f7858bc7128120cef7987964c,10.1055/S-0038-1634306,"Medical informatics: between science and engineering, between academia and industry.",Methods of information in medicine,2002,,False
130,10.1177/154407370301700103,6160bbc50dc7124f7858bc7128120cef7987964c,10.1055/S-0038-1634306,"Medical informatics: between science and engineering, between academia and industry.",Methods of information in medicine,2002,background,False
131,10.1177/154407370301700103,6df1cf5fe876fdfe41999f9e346bd556b358b96e,,Computer Science Illuminated,,2002,,False
132,10.1177/154407370301700103,803f43cdf4c3dccf782797f88ec76f2ff5c80574,10.1055/S-0038-1634312,"Theory, abstraction and design in medical informatics.",Methods of information in medicine,2002,background,True
133,10.1177/154407370301700103,803f43cdf4c3dccf782797f88ec76f2ff5c80574,10.1055/S-0038-1634312,"Theory, abstraction and design in medical informatics.",Methods of information in medicine,2002,background,False
134,10.1177/154407370301700103,a5494fd17b5e56e71a38a08f88262b27a85f1141,10.1197/jamia.M1097,Position Paper: A Proposal for Electronic Medical Records in U.S. Primary Care,J. Am. Medical Informatics Assoc.,2003,background,False
135,10.1177/154407370301700103,a5494fd17b5e56e71a38a08f88262b27a85f1141,10.1197/jamia.M1097,Position Paper: A Proposal for Electronic Medical Records in U.S. Primary Care,J. Am. Medical Informatics Assoc.,2003,background,False
136,10.1177/154407370301700103,9a1ad08c08bba02df23f5b596732b992ed04ac5e,10.1002/0471224154.ch1,Introduction to Telecommunications,,2004,,False
137,10.1177/154407370301700105,061dd66e7de96e6a8c0ece56223e1a2ec20e9393,10.1002/SIM.4780100406,Practice databases and their uses in clinical research.,Statistics in medicine,1991,background,False
138,10.1177/154407370301700105,e09ec1e177b87aea9a3f4ca37888e1ac77dd6099,10.1002/j.0022-0337.1997.61.1.tb03111.x,Dental health services research utilizing comprehensive clinical databases and information technology.,Journal of dental education,1997,background,False
139,10.1177/154407370301700105,1e73ec615e41c7ad693338750eed0f9d55fcd575,10.1055/S-0038-1634558,Desiderata for controlled medical vocabularies in the twenty-first century.,Methods of information in medicine,1998,background,False
140,10.1177/154407370301700105,06c2f7548d944676c650772e2af21a20592353a0,10.1055/S-0038-1634418,Clinical terminology: why is it so hard?,Methods of information in medicine,1999,background,False
141,10.1177/154407370301700105,c0803b83cf57aa8f82d3f99210f45af11d448239,,Clinical terminology : Why is it so hard? : Challenges to Progresses,,1999,background,False
142,10.1177/154407370301700105,c0afbfa8c9443e4a5b385801826c4e9dbf7b381b,,The future of dental informatics.,European journal of dental education : official journal of the Association for Dental Education in Europe,1999,background,False
143,10.1177/154407370301700105,e6c4f772685c86ef6c4ee258de2ffd112e3a78b1,,Identification in healthcare. Is there a place for Unique Patient Identifiers? Is there a place for the Master Patient Index?,Studies in health technology and informatics,2000,background,False
144,10.1177/154407370301700105,1cf3704786766639c639670c249e916df4d502d1,10.5005/JCDP-3-1-1,The electronic oral health record.,The journal of contemporary dental practice,2002,background,False
145,10.1177/154407370301700105,d6a0429c96794f6ea45ff1dca6b57476a7389f94,,Analysis of identifier performance using a deterministic linkage algorithm,AMIA,2002,background,False
146,10.1177/154407370301700105,f6b305dd6ee55e87597fd38505cb5caea840175b,10.1002/J.0022-0337.2002.66.12.TB03606.X,A comparison of student performance in a simulation clinic and a traditional laboratory environment: three-year results.,Journal of dental education,2002,background,False
147,10.1177/154407370301700112,b1a5318d6ace953623bdfd79ad53f50c2933ad13,10.1002/JEZ.1401000305,Experiments on cell and axon orientation in vitro; the role of colloidal exudates in tissue organization.,The Journal of experimental zoology,1945,background,False
148,10.1177/154407370301700112,b1a7c09c8569fceca87400d48e5049e51d67b4e9,10.1016/B978-1-4832-1319-4.50010-4,STRUCTURE AND PHYSICAL PROPERTIES,,1961,background,False
149,10.1177/154407370301700112,8b0847d3f220b799f87ed89694c85c5fc8eb4d4d,,The future of dental restorative materials.,,1965,,False
