,Unnamed: 0,Article_id,Venue,Title,Year,Abstract,Doi,fieldsOfStudy,topics,Downloadurl,TotalCitationCount,Influentialcitationcount
10,10,https://doi.org/10.1016/J.AJODO.2006.07.023,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",remot access electron patient data cellular wireless broadband technolog,2007,none,10.1016/J.AJODO.2006.07.023,Computer Science Medicine,Financial cost,https://dl.acm.org/doi/pdf/10.1016/J.AJODO.2006.07.023?download=true,4,0
11,11,https://doi.org/10.1055/s-0040-1709506,Appl. Clin. Inform.,leverag electron dental record data clinic research nation dental pbrn practic,2020,object aim studi determin feasibl conduct clinic research use electron dental record edr data us solo smallgroup general dental practic nation dental practicebas research network network evalu data complet correct perform surviv analys root canal treatment rct posterior composit restor pcr method ninetynin network general dentistri practic use dentrix eaglesoft edr share deidentifi data patient receiv pcr andor rct perman teeth octob 31 2015 evalu data complet correct summar practic patient characterist summar two treatment tooth type arch locat result eightytwo percent practition male mean age 49 224 year clinic experi final dataset compris 217887 patient 11289594 observ observ period rang 0 37 year patient 73 18 64 year old 56 femal data near 100 complet eight percent observ incorrect data incorrect tooth number surfac primari teeth supernumerari teeth tooth rang indic multitooth procedur instead pcr rct seventythre percent patient dental insur inform 27 lack insur inform gender document patient raceethn miss dataset conclus studi establish feasibl use edr data integr multipl distinct solo smallgroup network practic longitudin studi assess treatment outcom result laid groundwork learn health system enabl practition learn patient outcom use data practic,10.1055/s-0040-1709506,Computer Science Medicine,benefit,https://dl.acm.org/doi/pdf/10.1055/s-0040-1709506?download=true,8,0
12,12,https://doi.org/10.1055/s-0038-1668088,Appl. Clin. Inform.,feasibl electron health recordbas trigger detect dental advers event,2018,background quantifi character harm patient suffer dental chair mine data electron health record ehr dental institut current deploy random audit chart use local develop definit identifi patient safeti incid instead select patient chart use trigger assess calibr review may effici identifi dental advers event ae object goal develop test ehrbas trigger four academ institut find dental ae defin moder sever physic harm due dental treatment method use iter consensusbas process develop 11 ehrbas trigger identifi dental ae two dental expert institut independ review sampl trigger chart use common ae definit classif system expert panel provid second level review confirm ae identifi site review calcul perform trigger identifi strategi improv result total 100 ae identifi 10 11 trigger 57 case pain common ae identifi follow infect hard tissu damag posit predict valu ppv trigger rang 0 029 best perform trigger develop identifi infect ppv 029 allergi ppv 023 fail implant ppv 021 nerv injuri ppv 019 ae 90 categor temporari moderatetosever harm e2 remaind perman moderatetosever harm g2 conclus ehrbas trigger promis approach unearth ae among dental patient compar manual audit random chart data dental ehr appear suffici structur allow use trigger pain common ae type follow infect hard tissu damag,10.1055/s-0038-1668088,Computer Science Medicine,Pathologic Processes,https://dl.acm.org/doi/pdf/10.1055/s-0038-1668088?download=true,10,0
13,13,https://doi.org/10.1055/s-0039-1688832,Appl. Clin. Inform.,improv oralsystem healthcar interoper electron medic dental record exploratori studi,2019,object electron health record ehr rare share among medic dental provid purpos studi assess current inform share valu improv electron inform share among physician dentist germani unit state materi method survey valid distribut electron physician dentist four academ medic center respond ask anonym ehr use medic dental inform valuabl practic result 118 respons respons rate 232 major 639 respond dentist remaind physician respond 663 rate import share inform 8 1to10 likert scale dentist rate import share clinic inform signific higher physician p 00033 685 provid could recal instanc access medic dental inform would improv patient care dentist signific like report physician p 0008 conclus physician would valu standard measur oral health ehr dentist less like find specif medic diagnost test result valu dentist physician agre oralsystem health import interoper ehr could facilit inform transfer provid enhanc research oralsystem health connect dentist physician believ interoper ehr would use practic desir inform differ group refin inform need share practic requir,10.1055/s-0039-1688832,Computer Science Medicine,Odontogenic Tissue,https://dl.acm.org/doi/pdf/10.1055/s-0039-1688832?download=true,11,0
14,14,https://doi.org/10.4338/ACI-2015-11-RA-0150,Appl. Clin. Inform.,explor dental provid workflow electron dental record environ,2016,background workflow defin predefin set work step partial order step environ achiev expect outcom studi investig workflow provid dental offic import understand interact dental provid exist technolog point care assess breakdown workflow could contribut better technolog design object studi object assess electron dental record edr workflow use time motion methodolog order identifi breakdown opportun process improv method time motion methodolog use studi humancomput interact workflow dental provid edr four dental center larg healthcar organ data collect tool develop captur workflow dental provid staff interact edr initi plan emerg patient visit front desk qualit quantit analysi conduct observ data result breakdown workflow identifi post charg view radiograph eprescrib interact patient schedul edr interact time signific differ dentist dental assist 620 min vs 1057 min p 0013 dentist dental hygienist 620 min vs 936 min p 0003 conclus averag dentist spent far less time dental assist dental hygienist data record within edr,10.4338/ACI-2015-11-RA-0150,Medicine Computer Science,Structured Query Language,https://dl.acm.org/doi/pdf/10.4338/ACI-2015-11-RA-0150?download=true,3,0
15,15,https://doi.org/10.1055/s-0038-1667331,Appl. Clin. Inform.,adopt electron dental record examin influenc practic characterist adopt one state,2018,object compar medicin less research focus adopt rate factor contribut adopt electron dental record edr certifi electron health record ehr field dentistri ran two multivari model edr adopt certificationcap ehr adopt determin environment organiz factor associ adopt method conduct telephon survey 10item questionnair use disproportion stratifi sampl procedur 149 dental clinic tennesse 2017 measur adopt dental inform technolog edr certificationcap ehr practic characterist includ region rural specialti practic size use binomi logist regress model determin associ adopt predictor variabl result total 77 survey dental clinic tennesse adopt type edr system definit certif capabl appli adopt rate dental clinic drop 58 binomi logist regress model effect rural special practic size likelihood clinic would adopt ehr product statist signific chisquar 3 1241 p 00061 three predictor variabl special practic size signific odd adopt ehr 67 lower specialist general dentist clinic two practic dentist associ much greater likelihood adopt ehrcap system adjust odd ratio 309 p 0009 conclus find studi indic moder high level overal dental adopt howev adopt rate dental clinic remain lower observ officebas physician practic medicin special practic size signific predictor ehrcap system adopt effort increas ehr adopt dentistri mind potenti dispar smaller practic dental specialti generalist,10.1055/s-0038-1667331,Medicine Computer Science,Tooth Extraction,https://dl.acm.org/doi/pdf/10.1055/s-0038-1667331?download=true,8,0
16,16,https://doi.org/10.6026/97320630005307,Bioinformation,dental informat onlin communiti,2011,dental informat di applic comput inform scienc improv dental practic research educ program administr support growth emerg disciplin creat dental informat onlin communiti dioc dioc provid dedic profession home di research serv open common worldwid forum individu interest field creat maintain center dental informat univers pittsburgh school dental medicin independ profession associ corpor interest fund sourc dioc websit provid mani use featur learn center public archiv member project directori current awar servic cas cas automat notifi member new inform ad communiti notif individu accord member profil activ site dioc researchori onlin communiti provid resourc dental informat dental technolog field well way establish social connect share idea problem research opportun member activ growth sinc communiti incept 2005 steadi futur sustain communiti depend mani factor,10.6026/97320630005307,Medicine,Description,https://dl.acm.org/doi/pdf/10.6026/97320630005307?download=true,1,0
17,17,https://doi.org/10.1186/1472-6947-10-7,BMC Medical Informatics Decis. Mak.,inform system support inform need general dentist clinic set suggest qualit studi,2010,backgrounda major challeng design use clinic inform system dentistri incorpor clinic evid base dentist inform need integr system seamless complex clinic workflow howev littl known actual inform need dentist treatment session purpos studi identifi general dentist inform need inform sourc use meet need clinic set inform design dental inform systemsmethodsa semistructur interview conduct conveni sampl 18 general dentist pittsburgh area clinic hour one hundr five patient case report dentist interview transcript code analyz use themat analysi constant compar method identifi categori theme regard inform need inform sourc use patternsresultstwo toplevel categori inform need identifi foreground background inform need meet need dentist use four type inform sourc clinic informationtask administr task patient educ profession develop major theme dentist unmet inform need includ 1 time access inform various subject 2 better visual represent dental problem 3 access patientspecif evidencebas inform 4 accur complet consist document patient record resourc use pattern includ 1 dentist inform need match inform sourc use 2 littl use electron sourc took place treatment 3 sourc use depend natur complex dental problem 4 dentist routin practic crossreferenc verifi patient informationconclusionsdentist various inform need point care among need better visual represent patientspecif evidencebas inform most unmet patient record support staff remain use inform sourc electron sourc electron dental record edr rare util patient visit futur develop dental inform clinic decisionsupport system develop consid integr highqual uptod clinic evid comprehens easili access edr well support dentist resourc use pattern identifi studi,10.1186/1472-6947-10-7,Medicine Computer Science,Primary Health Care,https://dl.acm.org/doi/pdf/10.1186/1472-6947-10-7?download=true,39,0
18,18,https://doi.org/10.1136/bmjopen-2016-012528,BMJ Open,link medic dental health record data partnership rochest epidemiolog project,2017,purpos purpos project expand rochest epidemiolog project rep medic record linkag infrastructur includ data oral healthcar provid goal linkag facilit research studi examin role oral health overal health qualiti life particip eight dental practic join rep 2011 2015 rep studi team link oral healthcar inform medic record inform local healthcar provid 31 750 particip resid olmst counti minnesota overal 17 718 56 particip women 14 318 45 40 year age older 26 090 82 white find date first studi use new inform recent complet resourc use determin whether 2007 guidelin american heart associ affect prescript rate antibiot patient moderaterisk cardiac condit prior dental procedur rep infrastructur use identifi seri patient diagnos moderaterisk cardiac condit local healthcar provid n1351 abstract antibiot prescript dental record pre2007 post2007 antibiot prescript prior dental procedur declin 62 7 follow chang guidelin futur plan dental data particip practition updat annual basi new dental data link patient medic record addit continu invit new dental practic particip rep final continu use research infrastructur investig associ oral medic health present find confer scientif literatur,10.1136/bmjopen-2016-012528,Medicine,Decision Making,https://dl.acm.org/doi/pdf/10.1136/bmjopen-2016-012528?download=true,10,0
19,19,https://doi.org/10.1038/bdj.2008.193,BDJ,better inform clinic practic – brief overview dental informat,2008,uptak dental informat hamper technic user issu innov system develop usabl issu affect mani advanc technolog artifici intellig produc clinic use system although issu still remain adapt comput interfac dental practic work environ dental electron health record becom prioriti mani countri includ uk howev experi show dental electron health record ehr system cannot subordin subset medic record futur dental ehr like incorpor integr care pathway futur best dental practic increas depend computerbas support tool although disagr remain effect current support tool longer term futur dental informat tool incorpor dynam onlin evidencebas medicin ebm tool promis adapt patientfocus effici dental care educ advantag train,10.1038/bdj.2008.193,Medicine,Information Sciences,https://dl.acm.org/doi/pdf/10.1038/bdj.2008.193?download=true,13,1
20,20,https://doi.org/10.1038/bdj.2008.150,BDJ,better inform overview health informat,2008,healthcar informat increas import healthcar administr medic dental practition govern across develop world initi major nation health programm time futur best medic dental practic increas depend computerbas support tool although disagr remain effect current support tool longer term futur informat tool combin medic dental technolog modal promis adapt patientfocus effici healthcar educ practition patient,10.1038/bdj.2008.150,Medicine,Clinic,https://dl.acm.org/doi/pdf/10.1038/bdj.2008.150?download=true,14,1
21,21,https://doi.org/10.1038/sj.bdj.2013.157,BDJ,use inform communic technolog ict dentistri,2013,use inform communic technolog ict becom widespread dentistri risk breach electron commerc law patient confidenti increas necessari awar respons internet usag entail especi within dental practic protect patient inform utmost import done outlin various precaut taken ensur ict secur within profession domain would appear dentistri neglect regard receiv proper ict educ train support system,10.1038/sj.bdj.2013.157,Medicine,User Interface Device Component,https://dl.acm.org/doi/pdf/10.1038/sj.bdj.2013.157?download=true,5,1
22,22,https://doi.org/10.1159/000499700,Caries Research,develop test electron health recordderiv cari indic,2019,cari indic basi epidemiolog cari measur easili obtain clinic set studi object design test valid autom program valid electron health record dental cari indic calcul tool verdict calcul cari indic electron health record ehr synthet use case scenario actual patient case primari mix perman dentit includ decay miss fill teeth dmftdmft tooth surfac dmfsdmfs enter ehr verdict measur compar previous valid clinic electron data captur edc system statist program calcul cari indic four univers clinicianresearch abstract ehr cari exam data 45 synthet use case edc postprocess sas softwar creat gold standard compar verdictderiv cari indic 2 senior research abstract ehr cari exam data calcul cari indic 24 patient allow comparison verdict indic agreement statist comput among abstractor discrep resolv consensus agreement statist 2 finalphas abstractor verdict measur show extrem high concord lin concord coeffici lccs 099 dmfs dmft ds ds dt dt ms mt fs fs ft ft lccs 095 dmfs dmft lccs 092–093 ms mt cari indic essenti develop primari health outcom measur research reliabl deriv ehr use verdict use indic enabl popul oral health manag approach inform qualiti improv effort,10.1159/000499700,Medicine,Solutions,https://dl.acm.org/doi/pdf/10.1159/000499700?download=true,2,0
23,23,https://doi.org/10.1159/000328669,Caries Research,valid inform communic technolog system data captur epidemiolog studi,2011,belgian nation institut health insur implement oral health data registr surveil system studi aim develop valid system electron data captur oral health survey nation level – oral surveyb – identifi advantag disadvantag electron system comparison tradit handwritten data captur six seri fullmouth record simul clinic examin 6 patient set powerpoint present valid undertaken 52 general practition random oneperiod crossov design use two format data captur ie electron follow handwritten handwritten follow electron system 6 benchmark handwritten form transfer electron format electron data captur 865 practition correct complet rate ≧95 correspond valu handwritten data captur transfer 788 p 025 mcnemar test overal accuraci form without error 734 electron 625 handwritten data captur p 0001 signedrank test signific lower percentag error less time observ electron data captur p 0001 signedrank test practition consid electron data captur much difficult carri p 0001 inform technolog turn ever necessari work tool epidemiolog import potenti uptak improv electron data captur futur,10.1159/000328669,Medicine,Rationalization,https://dl.acm.org/doi/pdf/10.1159/000328669?download=true,13,0
24,24,https://doi.org/10.3121/cmr.2017.1380,Clinical Medicine & Research,updat electron dental record clinic comput adopt among dental practic unit state,2017,studi sought recharacter trend factor affect electron dental record edr technolog adopt dental practic impact health inform technolog econom clinic health hitech act adopt rate 2012 39question survey dissemin nation 3 month use novel statisticallymodel approach inform earli respons rate achiev predetermin sampl edr adopt rate clinic support 52 adopt rate higher among 1 younger dentist 2 dentist ≤ 15 year practic 3 femal 4 group practic top barrier adopt edr costexpens costbenefit ratio electron format convers poor edr usabl awar feder hitech incent program low rate chairsid comput implement 72 adopt edr dental offic unit state higher 2012 electron health record adopt rate medic offic driven hitech program patient portal adopt among dental practic unit state remain low,10.3121/cmr.2017.1380,Medicine,Health care facility,https://dl.acm.org/doi/pdf/10.3121/cmr.2017.1380?download=true,16,0
25,25,https://doi.org/10.1016/j.cden.2009.03.005,Dental clinics of North America,use teledentistri improv access dental care underserv,2009,none,10.1016/j.cden.2009.03.005,Medicine,Hypersensitivity,https://dl.acm.org/doi/pdf/10.1016/j.cden.2009.03.005?download=true,122,4
26,26,https://doi.org/10.1016/S0011-8532(02)00002-2,Dental clinics of North America,inform retriev internet guid dental practition,2002,none,10.1016/S0011-8532(02)00002-2,Computer Science Medicine,Occlusal surface of tooth,https://dl.acm.org/doi/pdf/10.1016/S0011-8532(02)00002-2?download=true,4,0
27,27,https://doi.org/10.4103/1357-6283.152194,Education for health,awar attitud student one indian dental school toward inform technolog use improv patient care,2014,background mani obstacl need overcom digit electron technolog fulli integr oper dental clinic countri obstacl may physic technic psychosoci barrier form percept attitud relat softwar incompat patient privaci interfer patientpractition relationship object studi assess percept indian dental student one school toward use digit technolog improv dental practic willing use digit electron technolog perceiv obstacl use digit electron technolog dental care setup attitud toward internet privaci issu method studi popul consist 186 final year undergradu dental student b shetti memori institut dental scienc rajiv gandhi univers health scienc mangalor india survey data analyz descript result student indic inform technolog enhanc patient satisfact qualiti dental record diagnosi treatment plan doctordoctor communic cost equip need technic train regard major obstacl substanti proport respond discuss dental student school feel inform technolog support decis make diagnos devis effect treatment plan turn increas patient satisfact qualiti care student also perceiv lack technic knowledg high cost implement major barrier develop inform technolog india,10.4103/1357-6283.152194,Medicine,Health Level Seven,https://dl.acm.org/doi/pdf/10.4103/1357-6283.152194?download=true,6,0
28,28,https://doi.org/10.1111/j.1600-0579.2007.00483.x,European journal of dental education : official journal of the Association for Dental Education in Europe,potenti inform technolog dental educ,2008,use inform technolog dentistri far rang order produc work document dental educ paper focus method assist educ compet develop dental student dentist eg elearn distanc learn simul computerbas assess web page informationgath devic becom essenti part daili life provid extens inform aspect societi mirror dental educ mani differ tool avail list report offer ad valu tradit teach method exampl provid spite continu debat learn effect elearn applic student request approach adjunct tradit deliveri learn materi faculti requir support enabl effect use technolog benefit student support provid institut suggest possibl institut appoint elearn champion good interperson skill support encourag faculti chang global prospect student faculti access elearn tool report encourag open access elearn materi platform program qualiti learn materi must well defin learn object involv peer review ensur content valid accuraci currenc use evidencebas data use best practic ensur develop intellectu right protect origin content need secur unauthor chang strategi recommend improv qualiti elearn outlin area assess tradit examin scheme enrich whilst internet provid mani innov approach futur trend evolv around improv uptak access facilit technolog hardwar softwar use web 20 show consider promis may implic global level exampl onelaptopperchild project best exampl web 20 minim use hardwar maxim use internet structur essenc simpl technolog overcom mani barrier learn alway remain excit alway chang user whether dental student educ patient like chameleon adapt everchang landscap,10.1111/j.1600-0579.2007.00483.x,Computer Science Medicine,Health Services,https://dl.acm.org/doi/pdf/10.1111/j.1600-0579.2007.00483.x?download=true,117,0
29,29,https://doi.org/10.1111/j.1600-0579.2008.00536.x,European journal of dental education : official journal of the Association for Dental Education in Europe,develop inform literaci first year oral health student,2009,context time rapid expans scientif knowledg base subject matter run risk becom outdat within relat short time instead ad content alreadi crowd curricula focus equip student adapt chang world abil access evalu appli new knowledg benefit patient acknowledg import goal dental educ inform literaci key achiev method inform literaci programm first year oral health student institut integr within bioscienc cours link assess small group instruct reinforc use tailor onlin assign guid use context specif task effect measur term assess outcom process use student experi result twentyseven student particip intervent effect enhanc foundat literaci skill confid student access evalu inform sourc context clinic problem improv higher level literaci skill requir articul inform synthesi scientif review demonstr conclus integr inform literaci programm within learn activ assess basic scienc cours result signific enhanc inform literaci skill high relev higher educ student general wider promot inform literaci encourag,10.1111/j.1600-0579.2008.00536.x,Medicine,Bruxism,https://dl.acm.org/doi/pdf/10.1111/j.1600-0579.2008.00536.x?download=true,45,0
30,30,https://doi.org/10.1111/eje.12203,European journal of dental education : official journal of the Association for Dental Education in Europe,inform retriev critic apprais knowledg evidence‐bas dentistri among finnish dental student,2017,background one core skill compet dentist abil search analys highqual evid problem understand basic aspect knowledgebas inform may imped implement clinic practic examin finnish dental student acquir scientif inform familiar method evalu scientif evid relat clinic question method fifthyear dental student n 120 three univers finland receiv selfadminist questionnair result three common use sourc inform colleagu commerci health gate portal dental practition person lectur note although student rare read scientif journal find possess least passabl even good skill literatur retriev three question relat apprais evid dentistri reveal student knowledg evidencebas dentistri inadequ critic evalu clinic research find conclus student seem lack knowledg key methodolog evidencebas term present curricula dental school fail encourag student search acquir knowledg wider patient univers respons teach dentist various method critic apprais cope scientif inform,10.1111/eje.12203,Medicine,Small,https://dl.acm.org/doi/pdf/10.1111/eje.12203?download=true,12,0
31,31,https://doi.org/10.1177/1460458213483613,Health Informatics J.,healthori electron oral health record develop evalu,2014,studi aim develop evalu new healthori electron oral health record implement healthori status intervent index index take principl holist oral healthcar appli design implement healthori electron oral health record design experi use focus group consensus delphi process method develop new healthori status intervent index graphic user interfac compar intervent studi qualit quantit method use compar exist electron oral health record healthori electron oral health record focus dentist satisfact accuraci complet oral health status record studi conduct dental staff intercountri center oral health collabor hospit thailand overal user satisfact questionnair posit respons healthori electron oral health record dentist found easi use general satisfi impact work oral health servic surveil dentist signific satisfi healthori electron oral health record compar exist electron oral health record p 0001 accuraci complet valu oral health inform record use healthori electron oral health record 9715 9374 percent respect research conclud healthori electron oral health record satisfi mani dentist provid benefit holist oral healthcar facilit plan manag evalu healthcar deliveri system,10.1177/1460458213483613,Medicine Computer Science,Health Insurance,https://dl.acm.org/doi/pdf/10.1177/1460458213483613?download=true,0,0
32,32,https://doi.org/10.4258/hir.2017.23.4.304,Healthcare informatics research,satisfact paperbas dental record percept electron dental record among dental profession myanmar,2017,object overcom challeng implement electron dental record system lowresourc set crucial know level user satisfact exist system paperbas dental record percept electron dental record method crosssect paperbas questionnair survey conduct among myanmar dental profession work one two teach hospit privat dental clinic descript data analyz regress analysi carri identifi factor influenc percept electron dental record result dental profession 60 satisfi three six aspect paperbas dental record familiar flexibl portabl addit general posit percept found among decis maker toward electron dental record 86 dentist indic will use financi concern identifi import barrier implement electron dental record among dentist will use propos system conclus first step toward implement electron dental record myanmar improv content structur paperbas dental record especi privat dental clinic util appropri opensourc electron dental record softwar privat dental clinic recommend address perceiv issu around financi barrier long term recommend provid educ train health informat healthcar profession facilit effici use electron dental record softwar myanmar futur,10.4258/hir.2017.23.4.304,Medicine,Patients,https://dl.acm.org/doi/pdf/10.4258/hir.2017.23.4.304?download=true,2,0
